"v_timeStamp","v_libraryCard","v_libraryVisits","v_itemsYear","v_scifiYear","v_DoULike_Novel","v_DoULike_YA","v_DoULike_SS","v_DoULike_Audio","v_printVsE","v_bookChoice[0]","v_bookChoice[1]","v_bookChoice[2]","v_bookChoice[3]","v_bookChoice[4]","v_bookChoice[5]","v_bookChoice[6]","v_bookChoice[7]","v_bookChoice[8]","v_bookChoice[9]","v_bookChoice[10]","v_bookChoice[11]","v_bookChoiceOthr","v_DescribU_IndProf","v_DescribU_Academic","v_DescribU_ProWriter","v_DescribU_Teacher","v_DescribU_Librarian","v_Age","v_Education","v_Gender","v_HHPeeps","v_HHIncome","v_Zip"
"2018/04/26 5:24:38 PM MDT","2","4","3","2","1","1","0","0","1","1","2","4","1","1","4","1","1","1","1","1","1","","0","0","0","0","1","4","3","1","2","-1","-1"
"2018/04/26 5:27:07 PM MDT","2","3","4","3","1","1","0","1","3","3","3","4","3","4","2","1","1","3","1","3","2","","0","0","0","0","1","5","7","1","2","-1","08852"
"2018/04/26 5:28:07 PM MDT","2","2","1","0","0","0","1","0","1","3","4","3","5","4","2","2","2","3","3","4","3","","0","1","0","0","0","5","7","2","2","3","46208"
"2018/04/26 5:29:55 PM MDT","2","0","3","2","1","1","0","1","3","1","5","2","5","5","5","1","2","1","1","1","1","","1","0","0","0","0","5","6","1","1","3","94501"
"2018/04/26 5:33:05 PM MDT","2","4","4","0","1","1","0","1","2","2","3","1","5","4","3","1","1","2","1","3","2","","0","0","0","0","1","5","7","1","1","3","44720"
"2018/04/26 5:36:14 PM MDT","2","4","4","3","1","1","0","0","4","5","5","5","5","3","1","1","1","4","2","3","4","","0","0","0","0","1","5","7","1","2","3","60099"
"2018/04/26 5:42:48 PM MDT","2","4","4","2","1","0","0","0","3","4","1","1","2","2","3","1","1","4","4","3","3","","0","0","0","0","1","5","7","1","2","4","94110"
"2018/04/26 5:53:40 PM MDT","2","1","2","1","1","1","1","0","2","3","2","4","3","3","3","1","1","2","3","3","-1","","0","0","0","1","0","5","6","1","3","3","63116"
"2018/04/26 5:54:24 PM MDT","2","2","2","1","1","1","0","0","4","4","3","4","5","4","4","3","1","3","3","5","3","","0","0","0","0","0","4","7","1","2","4","14221"
"2018/04/26 5:54:47 PM MDT","2","4","4","2","1","1","1","1","4","4","3","4","4","4","4","4","4","4","3","4","4","","0","0","0","0","1","4","7","1","2","3","52632"
"2018/04/26 5:55:59 PM MDT","2","4","4","3","1","1","1","1","4","3","3","4","5","3","3","2","2","3","2","1","2","","0","0","0","0","1","4","6","1","2","2","44811"
"2018/04/26 6:12:05 PM MDT","-1","-1","-1","-1","1","0","0","0","7","3","2","2","3","3","1","1","1","2","2","-1","2","","0","0","0","0","0","5","7","1","1","4","90049"
"2018/04/26 6:12:24 PM MDT","2","4","4","3","1","1","0","0","5","2","1","4","3","3","4","4","2","2","2","4","1","","0","0","0","0","1","5","7","1","2","3","11703"
"2018/04/26 6:13:04 PM MDT","2","3","3","1","1","0","0","1","2","1","2","1","1","1","1","1","1","3","5","2","3","I am reading books on the various ""greatest"" books lists (Modern Library, Time Magazine, Books to Read Before You Die, etc.","0","1","0","0","0","7","8","2","1","3","58102"
"2018/04/26 6:16:08 PM MDT","2","4","4","4","1","1","0","1","3","3","3","3","4","4","4","4","1","4","4","4","4","","0","0","0","0","1","4","7","2","2","4","48038"
